date,close
8-Oct-15,4081
9-Oct-15,12476
10-Oct-15,15660
11-Oct-15,5701
12-Oct-15,17168
13-Oct-15,6781
14-Oct-15,6551
15-Oct-15,9563
16-Oct-15,9329
17-Oct-15,12112
18-Oct-15,15084
19-Oct-15,16669
20-Oct-15,6903
21-Oct-15,6934
22-Oct-15,6972
23-Oct-15,5654
24-Oct-15,16699
25-Oct-15,12055
26-Oct-15,13299
27-Oct-15,7184
28-Oct-15,9549
29-Oct-15,4857
30-Oct-15,5976
31-Oct-15,17723
1-Nov-15,15547
2-Nov-15,16188
3-Nov-15,6139
4-Nov-15,6398
5-Nov-15,10000
6-Nov-15,9483
7-Nov-15,16040
8-Nov-15,14934
9-Nov-15,14709
10-Nov-15,8942
11-Nov-15,7568
12-Nov-15,6813
13-Nov-15,9295
14-Nov-15,8184
15-Nov-15,19913
16-Nov-15,8050
17-Nov-15,8670
18-Nov-15,9707
19-Nov-15,8934
20-Nov-15,4529
21-Nov-15,8204
22-Nov-15,19299
23-Nov-15,13772
24-Nov-15,10096
25-Nov-15,5826
26-Nov-15,24333
27-Nov-15,15825
28-Nov-15,17484
29-Nov-15,14465
30-Nov-15,11005
1-Dec-15,7664
2-Dec-15,4150
3-Dec-15,8001
4-Dec-15,5763
5-Dec-15,10235
6-Dec-15,9558
7-Dec-15,7291
8-Dec-15,7605
9-Dec-15,5990
10-Dec-15,4624
11-Dec-15,15126
12-Dec-15,28224
13-Dec-15,14300
14-Dec-15,16120
15-Dec-15,6606
16-Dec-15,20051
17-Dec-15,7898
18-Dec-15,6127
19-Dec-15,7723
20-Dec-15,15803
21-Dec-15,9927
22-Dec-15,7738
23-Dec-15,10570
24-Dec-15,15964
25-Dec-15,6590
26-Dec-15,8969
27-Dec-15,16512
28-Dec-15,10665
29-Dec-15,14352
30-Dec-15,5517
31-Dec-15,11170
1-Jan-16,7520
2-Jan-16,13875
3-Jan-16,9355
4-Jan-16,15754
5-Jan-16,9493
6-Jan-16,7067
7-Jan-16,6166
8-Jan-16,11879
9-Jan-16,19939
10-Jan-16,12838
11-Jan-16,8415
12-Jan-16,8072
13-Jan-16,6154
14-Jan-16,8171
15-Jan-16,12437
16-Jan-16,19873
17-Jan-16,17162
18-Jan-16,9455
19-Jan-16,9924
20-Jan-16,7866
21-Jan-16,7291
22-Jan-16,7814
23-Jan-16,14904
24-Jan-16,11734
25-Jan-16,15647
26-Jan-16,8867
27-Jan-16,8244
28-Jan-16,8315
29-Jan-16,8070
30-Jan-16,3886
31-Jan-16,21257
1-Feb-16,14634
2-Feb-16,8323
3-Feb-16,10363
4-Feb-16,6651
5-Feb-16,5763
6-Feb-16,8739
7-Feb-16,13672
8-Feb-16,9806
9-Feb-16,6384
10-Feb-16,6084
11-Feb-16,3529
12-Feb-16,7705
13-Feb-16,15509
14-Feb-16,29084
15-Feb-16,14459
16-Feb-16,12749
17-Feb-16,8384
18-Feb-16,11451
19-Feb-16,7350
20-Feb-16,12544
21-Feb-16,12848
22-Feb-16,14599
23-Feb-16,5464
24-Feb-16,5377
25-Feb-16,12569
26-Feb-16,6606
27-Feb-16,6179
28-Feb-16,3423
29-Feb-16,3882
1-Mar-16,8963
2-Mar-16,11546
3-Mar-16,9854
4-Mar-16,12205
5-Mar-16,13063
6-Mar-16,12184
7-Mar-16,13953
8-Mar-16,6503
9-Mar-16,5612
10-Mar-16,8013
11-Mar-16,6217
12-Mar-16,6186
13-Mar-16,13102
14-Mar-16,6231
15-Mar-16,8701
16-Mar-16,6551
17-Mar-16,16052
18-Mar-16,9575
19-Mar-16,8853
20-Mar-16,7540
21-Mar-16,16465
22-Mar-16,8448
23-Mar-16,6826
24-Mar-16,5865
25-Mar-16,8601
26-Mar-16,8010
27-Mar-16,15857
28-Mar-16,10088
29-Mar-16,9182
30-Mar-16,7
